Item;ACUSACION;ANIO_DENUNCIA;ANIO_HECHO;ATIPICIDAD_INEXISTENCIA;CAPTURA;CONDENA;CONEXO;DELITO;DEPARTAMENTO;ESTADO_NOTICIA;ETAPA;GRUPO_EDAD_VICTIMA;HECHO;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;LEY;MUNICIPIO;PAIS_NACIMIENTO;RUPTURA;SECCIONAL;SEXO_VICTIMA;TOTAL_VICTIMAS;Region;Nº_Habitantes
1223;NO;2021;2021;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;Amazonas;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;LETICIA;Colombia;NO;DIRECCIÓN SECCIONAL DE AMAZONAS;FEMENINO;1;Región Centro Sur;66056
1745;NO;2022;2022;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;Amazonas;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;LETICIA;Colombia;NO;DIRECCIÓN SECCIONAL DE AMAZONAS;FEMENINO;1;Región Centro Sur;66056
3171;SI;2020;2020;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;Amazonas;ACTIVO;JUICIO;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;LETICIA;Colombia;NO;DIRECCIÓN SECCIONAL DE AMAZONAS;FEMENINO;1;Región Centro Sur;66056
481;NO;2018;2018;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Amazonas;INACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;SI;SI;Ley 906;TARAPACÁ;Colombia;NO;DIRECCIÓN SECCIONAL DE AMAZONAS;FEMENINO;1;Región Centro Sur;66056
537;NO;2019;2019;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;Ley 906;ALEJANDRÍA;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
268;NO;2017;2017;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;ANDES;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
1570;NO;2022;2022;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INVESTIGACIÓN;JUVENTUD 18 - 28;SI;SI;SI;Ley 906;ANDES;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
3173;SI;2020;2020;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;Antioquia;ACTIVO;JUICIO;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;ANDES;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
1545;NO;2022;2022;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO POR COMETERSE EN PRESENCIA DE UNA PERSONA INTEGRANTE DE LA UNIDAD DOMESTICA. ART. 104B L.E;Antioquia;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;Ley 906;ANGOSTURA;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
464;NO;2018;2018;NO;NO;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;SI;SI;Ley 906;ANORÍ;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
2064;SI;2016;2016;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;ANORÍ;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
137;NO;2016;2016;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;APARTADÓ;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
538;NO;2019;2019;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;JUICIO;JUVENTUD 18 - 28;SI;SI;SI;Ley 906;APARTADÓ;N/A;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
