Item;ACUSACION;ANIO_DENUNCIA;ANIO_HECHO;ATIPICIDAD_INEXISTENCIA;CAPTURA;CONDENA;CONEXO;DELITO;DEPARTAMENTO;ESTADO_NOTICIA;ETAPA;GRUPO_EDAD_VICTIMA;HECHO;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;LEY;MUNICIPIO;PAIS_NACIMIENTO;RUPTURA;SECCIONAL;SEXO_VICTIMA;TOTAL_VICTIMAS;Region;Nß_Habitantes
1223;NO;2021;2021;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;Amazonas;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;LETICIA;Colombia;NO;DIRECCI‡N SECCIONAL DE AMAZONAS;FEMENINO;1;Regi¢n Centro Sur;66056
1745;NO;2022;2022;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;Amazonas;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;LETICIA;Colombia;NO;DIRECCI‡N SECCIONAL DE AMAZONAS;FEMENINO;1;Regi¢n Centro Sur;66056
3171;SI;2020;2020;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;Amazonas;ACTIVO;JUICIO;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;LETICIA;Colombia;NO;DIRECCI‡N SECCIONAL DE AMAZONAS;FEMENINO;1;Regi¢n Centro Sur;66056
481;NO;2018;2018;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Amazonas;INACTIVO;EJECUCI‡N DE PENAS;JUVENTUD 18 - 28;SI;SI;SI;Ley 906;TARAPACµ;Colombia;NO;DIRECCI‡N SECCIONAL DE AMAZONAS;FEMENINO;1;Regi¢n Centro Sur;66056
537;NO;2019;2019;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACI‡N;SIN DATO;SI;NO;NO;Ley 906;ALEJANDR÷A;Colombia;NO;DIRECCI‡N SECCIONAL DE ANTIOQUIA;FEMENINO;1;Regi¢n Eje Cafetero - Antioquia;5974788
268;NO;2017;2017;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCI‡N DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;ANDES;Colombia;NO;DIRECCI‡N SECCIONAL DE ANTIOQUIA;FEMENINO;1;Regi¢n Eje Cafetero - Antioquia;5974788
1570;NO;2022;2022;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INVESTIGACI‡N;JUVENTUD 18 - 28;SI;SI;SI;Ley 906;ANDES;Colombia;NO;DIRECCI‡N SECCIONAL DE ANTIOQUIA;FEMENINO;1;Regi¢n Eje Cafetero - Antioquia;5974788
3173;SI;2020;2020;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;Antioquia;ACTIVO;JUICIO;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;ANDES;Colombia;NO;DIRECCI‡N SECCIONAL DE ANTIOQUIA;FEMENINO;1;Regi¢n Eje Cafetero - Antioquia;5974788
1545;NO;2022;2022;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO POR COMETERSE EN PRESENCIA DE UNA PERSONA INTEGRANTE DE LA UNIDAD DOMESTICA. ART. 104B L.E;Antioquia;ACTIVO;INDAGACI‡N;ADULTEZ 29 - 59;SI;NO;NO;Ley 906;ANGOSTURA;Colombia;NO;DIRECCI‡N SECCIONAL DE ANTIOQUIA;FEMENINO;1;Regi¢n Eje Cafetero - Antioquia;5974788
464;NO;2018;2018;NO;NO;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCI‡N DE PENAS;JUVENTUD 18 - 28;SI;SI;SI;Ley 906;ANOR÷;Colombia;NO;DIRECCI‡N SECCIONAL DE ANTIOQUIA;FEMENINO;1;Regi¢n Eje Cafetero - Antioquia;5974788
